62562,CHE,101,Intro to Chemistry I/Lab: SC1,5,TW,1500,1650,SP212,24,22-Jan-19,13-May-19,STAFF,,
62562,CHE,101,Intro to Chemistry I/Lab: SC1,5,R,1500,1650,SP204,24,22-Jan-19,13-May-19,STAFF,,
60912,CHE,101,Intro to Chemistry I/Lab: SC1,5,M,1700,1950,SP212,24,22-Jan-19,13-May-19,STAFF,,
64689,CHE,102,Intro to Chemistry II/Lab: SC1,5,M,1000,1250,SP212,24,22-Jan-19,13-May-19,STAFF,,
60913,CHE,111,Gen College Chem I/Lab: SC1,5,MT,800,950,SP204,24,22-Jan-19,13-May-19,STAFF,,
60913,CHE,111,Gen College Chem I/Lab: SC1,5,R,800,1050,SP204,24,22-Jan-19,13-May-19,STAFF,,
60914,CHE,111,Gen College Chem I/Lab: SC1,5,MF,1400,1550,SP204,24,22-Jan-19,13-May-19,STAFF,,
60914,CHE,111,Gen College Chem I/Lab: SC1,5,R,1400,1650,SP212,24,22-Jan-19,13-May-19,STAFF,,
63681,CHE,111,Gen College Chem I/Lab: SC1,5,MW,1700,1850,CP107,24,22-Jan-19,13-May-19,STAFF,,
63681,CHE,111,Gen College Chem I/Lab: SC1,5,T,1700,1950,SP204,24,22-Jan-19,13-May-19,STAFF,,
60915,CHE,112,Gen College Chem II/Lab: SC1,5,MF,1200,1350,SP204,24,22-Jan-19,13-May-19,STAFF,,
60915,CHE,112,Gen College Chem II/Lab: SC1,5,W,1200,1450,SP204,24,22-Jan-19,13-May-19,STAFF,,
61620,CHE,112,Gen College Chem II/Lab: SC1,5,MR,1700,1850,SP204,24,22-Jan-19,13-May-19,STAFF,,
61620,CHE,112,Gen College Chem II/Lab: SC1,5,W,1700,1950,SP204,24,22-Jan-19,13-May-19,STAFF,,
60970,CHE,205,Intro Organic Chemistry w/Lab,5,TR,1200,1350,SP212,24,22-Jan-19,13-May-19,STAFF,,
60970,CHE,205,Intro Organic Chemistry w/Lab,5,W,1200,1450,SP212,24,22-Jan-19,13-May-19,STAFF,,
65164,CHE,212,Organic Chemistry II w/ Lab,5,TR,1700,1850,SP212,24,22-Jan-19,13-May-19,STAFF,,
65164,CHE,212,Organic Chemistry II w/ Lab,5,W,1700,1950,SP212,24,22-Jan-19,13-May-19,STAFF,,
60918,GEY,111,Physical Geology w/Lab: SC1,4,MWF,800,940,SP216,24,22-Jan-19,13-May-19,STAFF,,
60919,GEY,111,Physical Geology w/Lab: SC1,4,TR,1045,1315,SP216,24,22-Jan-19,13-May-19,STAFF,,
60920,GEY,111,Physical Geology w/Lab: SC1,4,MWF,1340,1520,SP216,24,22-Jan-19,13-May-19,STAFF,,
62340,GEY,111,Physical Geology w/Lab: SC1,4,TR,800,1030,SP216,24,22-Jan-19,13-May-19,STAFF,,
63178,GEY,112,Historical Geology w/Lab: SC1,4,MWF,1000,1140,SP216,24,22-Jan-19,13-May-19,STAFF,,
63175,GEY,135,Environmental Geol w/Lab: SC1,4,MW,1500,1730,SP125,24,22-Jan-19,13-May-19,STAFF,,
60921,MET,150,Gen Meteorology w/Lab: SC1,4,TR,1330,1545,SP216,24,22-Jan-19,13-May-19,STAFF,,
62130,PHY,105,Conceptual Physics w/Lab: SC1,4,MW,1240,1455,LBP112,18,22-Jan-19,13-May-19,STAFF,,
62131,PHY,105,Conceptual Physics w/Lab: SC1,4,TR,1425,1640,LBP112,18,22-Jan-19,13-May-19,STAFF,,
60929,PHY,211,Physics Calc-Based I/Lab: SC1,5,MW,1235,1435,SP207,24,22-Jan-19,13-May-19,STAFF,,
60929,PHY,211,Physics Calc-Based I/Lab: SC1,5,F,1200,1430,SP207,,22-Jan-19,13-May-19,STAFF,,
60976,PHY,212,Physics Calc-Based II/Lab: SC1,5,TR,1440,1640,SP207,24,22-Jan-19,13-May-19,STAFF,,
60976,PHY,212,Physics Calc-Based II/Lab: SC1,5,F,1440,1710,SP207,,22-Jan-19,13-May-19,STAFF,,
,,,,,,,,,,,,,,











